iter	Passed	Remaining
138	20941	129717
139	21069	129424
140	21249	129457
141	21369	129119
142	21505	128883
143	21673	128837
144	21828	128714
145	21994	128654
146	22153	128547
147	22249	128082
148	22402	127948
149	22531	127676
150	22659	127403
151	22776	127071
152	22900	126776
153	23036	126549
154	23135	126124
155	23253	125805
156	23358	125421
157	23512	125302
158	23653	125112
159	23768	124786
160	23893	124512
161	24023	124272
162	24139	123954
163	24235	123541
164	24363	123294
165	24527	123230
166	24635	122884
167	24743	122541
168	24876	122319
169	24970	121913
170	25102	121693
171	25248	121544
172	25356	121210
173	25530	121198
174	25667	121006
175	25787	120730
176	25906	120459
177	26003	120081
178	26096	119694
179	26221	119452
180	26335	119164
181	26469	118968
182	26590	118712
183	26697	118396
184	26819	118152
185	26937	117889
186	27074	117710
187	27225	117591
188	27355	117382
189	27475	117133
190	27596	116889
191	27753	116796
192	27887	116608
193	27996	116317
194	28122	116094
195	28282	116014
196	28400	115762
197	28593	115816
198	28732	115651
199	28852	115408
200	28967	115147
201	29088	114915
202	29209	114677
203	29314	114382
204	29447	114200
205	29585	114032
206	29681	113707
207	29828	113578
208	29920	113240
209	30065	113102
210	30189	112888
211	30300	112625
212	30454	112524
213	30620	112466
214	30755	112293
215	30878	112077
216	31028	111960
217	31155	111760
218	31274	111531
219	31396	111316
220	31528	111132
221	31669	110985
222	31795	110785
223	31915	110563
224	32075	110482
225	32184	110223
226	32306	110014
227	32446	109863
228	32607	109783
229	32751	109646
230	32891	109494
231	33001	109247
232	33146	109114
233	33281	108947
234	33423	108804
235	33579	108706
236	33695	108480
237	33850	108379
238	34052	108427
239	34204	108314
240	34314	108070
241	34458	107932
242	34608	107812
243	34718	107569
244	34851	107399
245	34954	107137
246	35082	106950
247	35193	106716
248	35267	106369
249	35362	106086
250	35481	105878
251	35633	105768
252	35770	105615
253	35933	105535
254	36051	105326
255	36198	105202
256	36345	105078
257	36476	104906
258	36606	104730
259	36751	104599
260	36890	104451
261	37032	104311
262	37156	104122
263	37344	104111
264	37499	104008
265	37648	103887
266	37748	103632
267	37865	103422
268	38049	103399
269	38213	103318
270	38389	103270
271	38539	103149
272	38684	103017
273	38849	102936
274	38985	102780
275	39144	102684
276	39278	102520
277	39448	102453
278	39590	102309
279	39779	102289
280	39884	102053
281	40054	101982
282	40159	101745
283	40279	101549
284	40339	101202
285	40469	101033
286	40694	101097
287	40770	100792
288	40853	100507
289	40951	100260
290	41061	100043
291	41160	99800
292	41278	99603
293	41419	99464
294	41510	99201
295	41613	98971
296	41705	98717
297	41816	98506
298	419300	41975299	420301	42136	97388
302	42276	97249
303	42454	97198
304	42590	97050
305	42769	97000
306	42934	96918
307	43130	96903
308	43325	96886
309	43501	96826
310	43660	96727
311	43876	96753
312	44020	96619
313	44173	96507
314	44298	96330
315	44493	96309
316	44651	96205
317	44841	96168
318	44952	95963
319	45073	95781
320	45278	95775
321	45451	95701
322	45651	95684
323	45861	95686
324	46028	95596
325	46285	95694
326	46490	95681
327	46639	95554
328	46772	95393
329	46919	95261
330	47080	95155
331	47248	95066
332	47353	94849
333	47467	94650
334	47623	94536
335	47799	94460
336	48017	94468
337	48166	94337
338	48368	94311
339	48529	94203
340	48706	94128
341	48833	93954
342	48969	93799
343	49109	93651
344	49286	93572
345	49490	93544
346	49635	93407
347	49809	93320
348	50047	93355
349	50208	93243
350	50371	93137
351	50489	92946
352	50649	92833
353	50817	92734
354	50964	92597
355	51105	92448
356	51237	92284
357	51389	92157
358	51541	92028
359	51655	91832
360	51800	91690
361	51932	91526
362	52091	91411
363	52281	91349
364	52409	91177
365	52592	91102
366	52721	90933
367	52856	90774
368	52976	90591
369	53134	90472
370	53291	90351
371	53448	90229
372	53573	90055
373	53757	89978
374	53900	89834
375	54035	89675
376	54221	89602
377	54368	89464
378	54672	89582
379	54834	89467
380	54993	89346
381	55062	89080
382	55152	88848
383	55254	88636
384	55326	88378
385	55429	387	55386	55540	388	55732	87538
389	55978	87556
390	56105	87386
391	56328	87366
392	56497	87261
393	56649	87130
394	56862	87092
395	57033	86990
396	57285	87011
397	57459	86911
398	57706	86922
399	57929	86894
400	58077	86754
401	58281	86697
402	58378	86481
403	58507	86312
404	58674	86200
405	58809	86042
406	59075	86073
407	59339	86100
408	59519	86005
409	59724	85945
410	59901	85843
411	60118	85800
412	60338	85759
413	60573	85739
414	60818	85731
415	61012	85652
416	61211	85578
417	61425	85524
418	61639	85471
419	61851	85414
420	62137	85458
421	62355	85406
422	62519	85281
423	62677	85146
424	62886	85081
425	63046	84950
426	63241	84865
427	63406	84738
428	63671	84747
429	63970	84797
430	64158	84701
431	64358	84619
432	64563	84544
433	64765	84463
434	64963	84378
435	65122	84240
436	65343	84184
437	65543	84099
438	65720	83984
439	65963	83954
440	66136	83832
441	66322	83728
442	66506	83620
443	66710	83538
444	66936	83482
445	67102	83351
446	67240	83185
447	67496	83165
448	67661	83032
449	67809	82877
450	68001	82777
451	68170	82648
452	68343	82525
453	68483	82361
454	68619	82192
455	68787	82062
456	68929	81900
457	69053	81717
458	69179	81538
459	69305	81358
460	69445	81196
461	69589	81037
462	69712	80854
463	69842	80680
464	69962	80494
465	70046	80267
466	70145	80058
467	70224	79828
468	70293	79586
469	70396	79383
470	70453	79129
471	70531	78899
472	70600	78660
473	70761	785473474	70957	78426
475	71200	78380
476	71471	78364
477	71768	78374
478	72002	783478479	72189	782479480	72432	781480481	72661	780481482	72882	780482483	73091	779483484	73336	77873
485	73606	778485486	73827	77769
487	73988	776487488	74124	774488489	74382	77418
490	74596	773490491	74833	772491492	75002	771492493	75246	770493494	75422	769494495	75595	768495	75773	76995
496497	76034	766497498	76382	766498499	76684	766499500	76913	766500501	77029	764501502	77298	763502503	77547	763503504	77847	76306
505	78064	76213
506	78320	76157
507	78458	75987
508	78638	75857
509	78832	75741
510	78961	75562
511	79124	75415
512	79262	75245
513	79443	75115
514	79580	74944
515	79730	74786
516	79944	74687
517	80109	74542
518	80275	74397
519	80427	74240
520	80536	74043
521	80755	73948
522	80880	73766
523	81047	73623
524	81243	73505
525	81488	73432
526	81657	73290
527	81827	73148
528	81958	72972
529	82118	72821
530	82240	72637
531	82467	72546
532	82684	72445
533	82876	72323
534	83072	72203
535	83342	72147
536	83588	72069
537	83759	71927
538	83934	71788
539	84119	71657
540	84252	71481
541	84428	71343
542	84618	71216
543	84793	71077
544	84916	70893
545	85078	70742
546	85231	70585
547	85384	70426
548	85619	70335
549	85798	70199
550	85960	70047
551	86056	69842
552	86217	69690
553	86400	69557
554	86614	69447
555	86758	69281
556	86866	69088
557	87031	68939
558	87149	68752
559	87315	68605
560	87498	68470
561	87658	68317
562	87846	68186
563	87974	68008
564	88147	67866
565	88401	67784
566	88567	67636
567	88713	67472
568	88863	67311
569	89076	67198
570	89255	67059
571	89429	66915
572	89593	66765
573	89830	66668
574	89964	66495
575	90120	66338
576	90280	66184
577	90403	66003
578	90567	65853
579	90712	65688
580	90863	65528
581	91032	65381
582	91172	65212
583	91354	65074
584	91529	64930
585	91660	64756
586	91761	64561
587	91952	64429
588	92112	64275
589	92312	64149
590	92482	64002
591	92604	63822
592	92777	63676
593	92936	63522
594	93069	63350
595	93207	63180
596	93325	62998
597	93462	62829
598	93698	62726
599	93888	62592
600	94063	62448
601	94260	62318
602	94414	62160
603	94575	62006
604	94711	61836
605	94846	61666
606	95018	61519
607	95176	61363
608	95342	61213
609	95482	61046
610	95709	60934
611	95903	60801
612	96029	60625
613	96231	60497
614	96364	60325
615	96561	60194
616	96748	60055
617	96926	59912
618	97084	59756
619	97242	59600
620	97404	59446
621	97558	59288
622	97743	59148
623	97912	58998
624	98046	58827
625	98199	58668
626	98302	58479
627	98487	58339
628	98670	58198
629	98809	58031
630	98971	57877
631	99143	57729
632	99265	57551
633	99430	57399
634	99549	57221
635	99709	57066
636	99875	56914
637	100048	56767
638	100184	56598
639	100267	56400
640	100420	56241
641	100553	56071
642	100683	55900
643	100816	55730
644	100999	55589
645	101162	55435
646	101400	55323
647	101521	55147
648	101727	55017
649	101891	54864
650	102018	54692
651	102162	54528
652	102352	54389
653	102502	54228
654	102644	54064
655	102811	53913
656	102903	53722
657	103046	53559
658	103240	53421
659	103346	53238
660	103521	53092
661	103684	52938
662	103807	52764
663	103944	52598
664	104081	52431
665	104215	52264
666	104361	52102
667	104525	51949
668	104702	51803
669	104849	51642
670	104979	51472
671	105122	51309
672	105316	51171
673	105448	51003
674	105612	50850
675	105749	50684
676	105881	50516
677	106076	50378
678	106238	50224
679	106394	50067
680	106588	49928
681	106745	49772
682	106876	49604
683	107044	49453
684	107225	49308
685	107385	49153
686	107485	48970
687	107609	48799
688	107739	48631
689	107884	48469
690	108044	48315
691	108208	48162
692	108323	47987
693	108518	47848
694	108669	47689
695	108789	47517
696	108925	47352
697	109099	47203
698	109281	47058
699	109443	46904
700	109564	46732
701	109703	46569
702	109824	46398
703	109985	46244
704	110134	46084
705	110243	45908
706	110390	45748
707	110533	45587
708	110685	45429
709	110810	45260
710	110933	45091
711	111115	44945
712	111261	44785
713	111386	44617
714	111544	44461
715	111761	44329
716	111909	44170
717	112086	44022
718	112246	43868
719	112403	43712
720	112552	43553
721	112680	43386
722	112863	43240
723	113081	43108
724	113250	42956
725	113380	42791
726	113561	42643
727	113722	42489
728	113876	42332
729	114007	42167
730	114147	42005
731	114298	41846
732	114465	41694
733	114634	41543
734	114757	41375
735	114913	41218
736	115077	41065
737	115210	40901
738	115350	40739
739	115540	40595
740	115726	40449
741	115899	40299
742	116052	40141
743	116205	39984
744	116414	39846
745	116595	39698
746	116738	39537
747	116881	39377
748	117033	39219
749	117165	39055
750	117284	38886
751	117444	38731
752	117583	38569
753	117740	38414
754	117889	38255
755	118022	38092
756	118166	37932
757	118290	37765
758	118412	37598
759	118548	37436
760	118691	37276
761	118858	37123
762	119027	36971
763	119186	36816
764	119315	36652
765	119427	36482
766	119560	36320
767	119685	36154
768	119820	35993
769	119982	35838
770	120085	35667
771	120181	35494
772	120304	35328
773	120453	35171
774	120573	35005
775	120690	34838
776	120835	34680
777	120938	34509
778	121075	34348
779	121217	34189
780	121315	34017
781	121399	33842
782	121497	33671
783	121585	33498
784	121762	33349
785	121893	33187
786	122013	33022
787	122119	32854
788	122253	32693
789	122404	32537
790	122613	32397
791	122762	32240
792	122918	32085
793	123117	31942
794	123267	31785
795	123431	31633
796	123600	31481
797	123736	31321
798	123908	31170
799	124019	31004
800	124175	30850
801	124298	30687
802	124420	30524
803	124561	30365
804	124682	30202
805	124810	30041
806	124930	29878
807	125084	29723
808	125211	29561
809	125349	29402
810	125486	29244
811	125600	29080
812	125753	28924
813	125875	28762
814	126012	28604
815	126137	28442
816	126301	28290
817	126445	28133
818	126595	27977
819	126716	27815
820	126839	27654
821	126943	27489
822	127056	27325
823	127209	27170
824	127371	27018
825	127511	26860
826	127639	26700
827	127774	26542
828	127915	26385
829	128055	26228
830	128187	26069
831	128308	25908
832	128451	25751
833	128621	25600
834	128753	25442
835	128933	25293
836	129058	25133
837	129203	24977
838	129335	24818
839	129490	24664
840	129582	24499
841	129733	24344
842	129891	24190
843	130033	24034
844	130185	23880
845	130322	23722
846	130458	23565
847	130597	23408
848	130731	23251
849	130892	23098
850	131055	22946
851	131182	22787
852	131307	22628
853	131400	22464
854	131493	22299
855	131591	22136
856	131701	21975
857	131797	21812
858	131914	21652
859	131999	21488
860	132086	21324
861	132168	21159
862	132271	20997
863	132384	20838
864	132564	20689
865	132770	20544
866	132939	20393
867	133097	20240
868	133233	20084
869	133390	19931
870	133527	19776
871	133692	19624
872	133825	19468
873	133980	19315
874	134129	19161
875	134247	19003
876	134381	18847
877	134525	18692
878	134630	18532
879	134815	18383
880	134908	18222
881	135048	18067
882	135224	17917
883	135397	17767
884	135542	17612
885	135693	17459
886	135848	17306
887	135966	17148
888	136091	16992
889	136282	16843
890	136442	16691
891	136624	16541
892	136813	16393
893	136947	16237
894	137111	16085
895	137264	15932
896	137437	15781
897	137606	15630
898	137747	15475
899	137886	15320
900	138053	15168
901	138204	15015
902	138355	14862
903	138503	14708
904	138632	14552
905	138748	14395
906	138929	14245
907	139086	14092
908	139220	13937
909	139340	13780
910	139515	13629
911	139687	13478
912	139804	13321
913	139915	13164
914	140096	13014
915	140269	12863
916	140378	12706
917	140506	12550
918	140633	12395
919	140766	12240
920	140866	12083
921	140947	11923
922	141028	11765
923	141128	11607
924	141217	11450
925	141306	11292
926	141376	11133
927	141477	10976
928	141586	10820
929	141651	10661
930	141721	10503
931	141762	10343
932	141826	10184
933	141863	10024
934	141926	9866
935	141976	9707
936	142028	9549
937	142077	9391
938	142133	9233
939	142180	9075
940	142236	8918
941	142296	8761
942	142361	8605
943	142423	8448
944	142484	8292
945	142525	8135
946	142580	7979
947	142639	7824
948	142682	7667
949	142739	7512
950	142794	7357
951	142849	7202
952	142902	7047
953	142943	6892
954	142995	6738
955	143048	6583
956	143107	6430
957	143154	6276
958	143203	6122
959	143261	5969
960	143308	5815
961	143368	5663
962	143414	5510
963	143450	5357
964	143485	5204
965	143517	5051
966	143553	4898
967	143588	4746
968	143623	4594
969	143658	4443
970	143697	4291
971	143731	4140
972	143765	3989
973	143799	3838
974	143834	3688
975	143869	3537
976	143908	3387
977	143951	3238
978	143985	3088
979	144021	2939
980	144056	2790
981	144093	2641
982	144125	2492
983	144156	2344
984	144188	2195
985	144220	2047
986	144254	1900
987	144287	1752
988	144320	1605
989	144352	1458
990	144387	1311
991	144429	1164
992	144471	1018
993	144531	872
994	144575	726
995	144623	580
996	144674	435
997	144709	289
998	144743	144
999	144781	0
