iter	RMSE
0	0.3809694641
1	0.3706602212
2	0.3611161715
3	0.3505014789
4	0.3407750366
5	0.331030885366	0.3214878748
7	0.3132723779
8	0.304307369299	0.2957461819
10	0.2883199299111	0.2801649796
12	0.2717589304113	0.2644160149
14	0.2584384876115	0.2515788155116	0.2445538844117	0.2374673316
18	0.2318374164
19	0.2258911035220	0.2202633537221	0.2148636054
22	0.2096380627
23	0.2046329232
24	0.1995728687
25	0.1940874715
26	0.1894325116
27	0.1844018092
28	0.1791684718
29	0.1748347464
30	0.1704659606
31	0.1661346803
32	0.1625201106
33	0.1585267917
34	0.1547377442
35	0.1512640976
36	0.1477544526
37	0.14458639
38	0.1410074492
39	0.1373446982
40	0.1343843774
41	0.1310249378
42	0.1278160592
43	0.1245301375
44	0.1214010072
45	0.1188665124
46	0.1159776447
47	0.1134593099
48	0.1112031709
49	0.1087523368
50	0.106735167
51	0.1044978099
52	0.1021292704
53	0.09981438797
54	0.09784488058
55	0.09550833698
56	0.09359384884
57	0.09195644647
58	0.09021629265
59	0.0885020455
60	0.08696198559
61	0.08548894284
62	0.08359395977
63	0.08195041632
64	0.08059669587
65	0.07918241669
66	0.07780211847
67	0.07622715268
68	0.07478305852
69	0.07317695557
70	0.0718998168
71	0.07077296443
72	0.0695527052
73	0.0683925029
74	0.06723585394
75	0.0660097369
76	0.06502664251
77	0.06381175426
78	0.06267318751
79	0.06159926421
80	0.06060523564
81	0.05969297033
82	0.05858834539
83	0.05749053005
84	0.05671141344
85	0.05582282972
86	0.05506998949
87	0.05428563985
88	0.05338856383
89	0.05246136029
90	0.05158615124
91	0.05083873173
92	0.0502841789
93	0.04988035538
94	0.04937913027
95	0.04869681673
96	0.04787314401
97	0.04728199177
98	0.04675199058
99	0.04636245423
100	0.04594147692
101	0.04532656771
102	0.04481708037
103	0.04425803324
104	0.04380498635
105	0.04316492566
106	0.04272537723
107	0.04252666522
108	0.04194472619
109	0.04147548531
110	0.04118467388
111	0.04080119393
112	0.04032604774
113	0.03994785613
114	0.03946713036
115	0.03927026958
116	0.03913322638
117	0.03877807741
118	0.03837660748
119	0.0380823922
120	0.03773157092
121	0.03756963828
122	0.03718765166
123	0.03709883637
124	0.0367732212
125	0.03649066855
126	0.03634320653
127	0.03598062413
128	0.03563185899
129	0.03541144479
130	0.03509678972
131	0.03481428786
132	0.03447556417
133	0.03417005595
134	0.03399389036
135	0.0337427841
136	0.03348893656
137	0.0332523091
138	0.03310793808
139	0.03281713777
140	0.03259982009
141	0.03229768222
142	0.0320492216
143	0.03183014821
144	0.031694213
145	0.03153420775
146	0.0312617895
147	0.03106518082
148	0.0308109841
149	0.03060990336
150	0.03038236545
151	0.03021134767
152	0.0300037998
153	0.02978715146
154	0.02957550045
155	0.02938558059
156	0.02917159023
157	0.02899797362
